      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-03     3.98107E+03     1.25000E+01    -1.00475E-02
    1.00000E-03     5.01187E+03     1.25000E+01    -7.98105E-03
    1.00000E-03     6.30957E+03     1.25000E+01    -6.33957E-03
    1.00000E-03     7.94328E+03     1.25000E+01    -5.03570E-03
    1.00000E-03     1.00000E+04     1.25000E+01    -4.00000E-03
    1.00000E-03     1.25893E+04     1.25000E+01    -3.17731E-03
    1.00000E-03     1.58489E+04     1.25000E+01    -2.52383E-03
    1.00000E-03     1.99526E+04     1.25000E+01    -2.00475E-03
    1.00000E-03     2.51189E+04     1.25000E+01    -1.59243E-03
    1.00000E-03     3.16228E+04     1.25000E+01    -1.26491E-03
    1.00000E-03     3.98107E+04     1.25000E+01    -1.00475E-03
    1.00000E-03     5.01187E+04     1.25000E+01    -7.98105E-04
    1.00000E-03     6.30957E+04     1.25000E+01    -6.33957E-04
    1.00000E-03     7.94328E+04     1.25000E+01    -5.03570E-04
    1.00000E-03     1.00000E+05     1.25000E+01    -4.00000E-04
    1.00000E-04     1.00000E-05     4.99958E+03    -4.16364E+01
    1.00000E-04     1.25893E-05     4.99934E+03    -5.24140E+01
    1.00000E-04     1.58489E-05     4.99895E+03    -6.59792E+01
    1.00000E-04     1.99526E-05     4.99834E+03    -8.30505E+01
    1.00000E-04     2.51189E-05     4.99737E+03    -1.04530E+02
    1.00000E-04     3.16228E-05     4.99584E+03    -1.31546E+02
    1.00000E-04     3.98107E-05     4.99341E+03    -1.65509E+02
    1.00000E-04     5.01187E-05     4.98956E+03    -2.08168E+02
    1.00000E-04     6.30957E-05     4.98348E+03    -2.61679E+02
    1.00000E-04     7.94328E-05     4.97388E+03    -3.28663E+02
    1.00000E-04     1.00000E-04     4.95876E+03    -4.12231E+02
    1.00000E-04     1.25893E-04     4.93502E+03    -5.15942E+02
    1.00000E-04     1.58489E-04     4.89797E+03    -6.43588E+02
    1.00000E-04     1.99526E-04     4.84063E+03    -7.98648E+02
    1.00000E-04     2.51189E-04     4.75309E+03    -9.83178E+02
    1.00000E-04     3.16228E-04     4.62211E+03    -1.19582E+03
    1.00000E-04     3.98107E-04     4.43199E+03    -1.42885E+03
    1.00000E-04     5.01187E-04     4.16781E+03    -1.66485E+03
    1.00000E-04     6.30957E-04     3.82214E+03    -1.87532E+03
    1.00000E-04     7.94328E-04     3.40367E+03    -2.02492E+03
    1.00000E-04     1.00000E-03     2.94210E+03    -2.08328E+03
    1.00000E-04     1.25893E-03     2.48213E+03    -2.03956E+03
    1.00000E-04     1.58489E-03     2.06714E+03    -1.90852E+03
    1.00000E-04     1.99526E-03     1.72370E+03    -1.72280E+03
    1.00000E-04     2.51189E-03     1.45701E+03    -1.51804E+03
    1.00000E-04     3.16228E-03     1.25667E+03    -1.32154E+03
    1.00000E-04     3.98107E-03     1.10546E+03    -1.14858E+03
    1.00000E-04     5.01187E-03     9.86230E+02    -1.00384E+03
    1.00000E-04     6.30957E-03     8.85598E+02    -8.84851E+02
    1.00000E-04     7.94328E-03     7.95459E+02    -7.85615E+02
    1.00000E-04     1.00000E-02     7.12612E+02    -6.99938E+02
    1.00000E-04     1.25893E-02     6.36897E+02    -6.23621E+02
    1.00000E-04     1.58489E-02     5.68876E+02    -5.54808E+02
    1.00000E-04     1.99526E-02     5.08474E+02    -4.92911E+02
    1.00000E-04     2.51189E-02     4.54981E+02    -4.37496E+02
    1.00000E-04     3.16228E-02     4.07575E+02    -3.87934E+02
    1.00000E-04     3.98107E-02     3.65581E+02    -3.43547E+02
    1.00000E-04     5.01187E-02     3.28453E+02    -3.03737E+02
    1.00000E-04     6.30957E-02     2.95705E+02    -2.67986E+02
    1.00000E-04     7.94328E-02     2.66911E+02    -2.35832E+02
    1.00000E-04     1.00000E-01     2.41701E+02    -2.06868E+02
    1.00000E-04     1.25893E-01     2.19750E+02    -1.80735E+02
    1.00000E-04     1.58489E-01     2.00782E+02    -1.57125E+02
    1.00000E-04     1.99526E-01     1.84557E+02    -1.35781E+02
    1.00000E-04     2.51189E-01     1.70869E+02    -1.16495E+02
    1.00000E-04     3.16228E-01     1.59526E+02    -9.91145E+01
    1.00000E-04     3.98107E-01     1.50345E+02    -8.35376E+01
    1.00000E-04     5.01187E-01     1.43122E+02    -6.97051E+01
    1.00000E-04     6.30957E-01     1.37624E+02    -5.75804E+01
    1.00000E-04     7.94328E-01     1.33586E+02    -4.71203E+01
    1.00000E-04     1.00000E+00     1.30721E+02    -3.82494E+01
    1.00000E-04     1.25893E+00     1.28750E+02    -3.08477E+01
    1.00000E-04     1.58489E+00     1.27428E+02    -2.47574E+01
    1.00000E-04     1.99526E+00     1.26559E+02    -1.98006E+01
    1.00000E-04     2.51189E+00     1.25994E+02    -1.57986E+01
    1.00000E-04     3.16228E+00     1.25632E+02    -1.25855E+01
    1.00000E-04     3.98107E+00     1.25401E+02    -1.00154E+01
    1.00000E-04     5.01187E+00     1.25254E+02    -7.96490E+00
    1.00000E-04     6.30957E+00     1.25160E+02    -6.33146E+00
    1.00000E-04     7.94328E+00     1.25101E+02    -5.03163E+00
    1.00000E-04     1.00000E+01     1.25064E+02    -3.99796E+00
    1.00000E-04     1.25893E+01     1.25040E+02    -3.17629E+00
    1.00000E-04     1.58489E+01     1.25025E+02    -2.52332E+00
    1.00000E-04     1.99526E+01     1.25016E+02    -2.00449E+00
    1.00000E-04     2.51189E+01     1.25010E+02    -1.59230E+00
    1.00000E-04     3.16228E+01     1.25006E+02    -1.26485E+00
    1.00000E-04     3.98107E+01     1.25004E+02    -1.00472E+00
    1.00000E-04     5.01187E+01     1.25003E+02    -7.98089E-01
    1.00000E-04     6.30957E+01     1.25002E+02    -6.33949E-01
    1.00000E-04     7.94328E+01     1.25001E+02    -5.03566E-01
    1.00000E-04     1.00000E+02     1.25001E+02    -3.99998E-01
    1.00000E-04     1.25893E+02     1.25000E+02    -3.17730E-01
    1.00000E-04     1.58489E+02     1.25000E+02    -2.52382E-01
