      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   7.94328E+000    2.37500E-001   -1.62896E-001   -1.90191E-001
   7.94328E+000    2.62500E-001   -1.62821E-001   -1.38638E-001
   7.94328E+000    2.87500E-001   -1.55864E-001   -9.51679E-002
   7.94328E+000    3.12500E-001   -1.44181E-001   -5.94359E-002
   7.94328E+000    3.37500E-001   -1.29549E-001   -3.08619E-002
   7.94328E+000    3.62500E-001   -1.13384E-001   -8.71942E-003
   7.94328E+000    3.87500E-001   -9.67857E-002    7.79410E-003
   7.94328E+000    4.12500E-001   -8.05747E-002    1.95026E-002
   7.94328E+000    4.37500E-001   -6.53319E-002    2.72110E-002
   7.94328E+000    4.62500E-001   -5.14401E-002    3.16759E-002
   7.94328E+000    4.87500E-001   -3.91208E-002    3.35871E-002
   7.94328E+000    5.12500E-001   -2.84690E-002    3.35561E-002
   7.94328E+000    5.37500E-001   -1.94831E-002    3.21117E-002
   7.94328E+000    5.62500E-001   -1.20914E-002    2.97001E-002
   7.94328E+000    5.87500E-001   -6.17414E-003    2.66882E-002
   7.94328E+000    6.12500E-001   -1.58185E-003    2.33698E-002
   7.94328E+000    6.37500E-001    1.85023E-003    1.99728E-002
   7.94328E+000    6.62500E-001    4.29075E-003    1.66677E-002
   7.94328E+000    6.87500E-001    5.90379E-003    1.35757E-002
   7.94328E+000    7.12500E-001    6.84286E-003    1.07767E-002
   7.94328E+000    7.37500E-001    7.24692E-003    8.31741E-003
   7.94328E+000    7.62500E-001    7.23805E-003    6.21793E-003
   7.94328E+000    7.87500E-001    6.92050E-003    4.47777E-003
   7.94328E+000    8.12500E-001    6.38064E-003    3.08120E-003
   7.94328E+000    8.37500E-001    5.68781E-003    2.00139E-003
   7.94328E+000    8.62500E-001    4.89562E-003    1.20395E-003
   7.94328E+000    8.87500E-001    4.04367E-003    6.49563E-004
   7.94328E+000    9.12500E-001    3.15946E-003    2.95924E-004
   7.94328E+000    9.37500E-001    2.26057E-003    9.91379E-005
   7.94328E+000    9.62500E-001    1.35675E-003    1.45789E-005
   7.94328E+000    9.87500E-001    4.52206E-004   -2.62369E-006
   7.94328E+000    1.00000E+000    0.00000E+000    0.00000E+000
   1.00000E+001    0.00000E+000    7.12653E-001   -7.01603E-001
   1.00000E+001    1.25000E-002    5.87653E-001   -7.01603E-001
   1.00000E+001    3.75000E-002    3.81504E-001   -6.64875E-001
   1.00000E+001    6.25000E-002    2.16908E-001   -6.04303E-001
   1.00000E+001    8.75000E-002    9.00823E-002   -5.30173E-001
   1.00000E+001    1.12500E-001   -3.60808E-003   -4.50414E-001
   1.00000E+001    1.37500E-001   -6.91475E-002   -3.70881E-001
   1.00000E+001    1.62500E-001   -1.11507E-001   -2.95669E-001
   1.00000E+001    1.87500E-001   -1.35387E-001   -2.27426E-001
   1.00000E+001    2.12500E-001   -1.45053E-001   -1.67645E-001
   1.00000E+001    2.37500E-001   -1.44241E-001   -1.16929E-001
   1.00000E+001    2.62500E-001   -1.36122E-001   -7.52290E-002
   1.00000E+001    2.87500E-001   -1.23300E-001   -4.20364E-002
   1.00000E+001    3.12500E-001   -1.07851E-001   -1.65501E-002
   1.00000E+001    3.37500E-001   -9.13678E-002    2.19557E-003
   1.00000E+001    3.62500E-001   -7.50218E-002    1.52307E-002
   1.00000E+001    3.87500E-001   -5.96276E-002    2.35771E-002
   1.00000E+001    4.12500E-001   -4.57071E-002    2.81966E-002
   1.00000E+001    4.37500E-001   -3.35488E-002    2.99595E-002
   1.00000E+001    4.62500E-001   -2.32630E-002    2.96256E-002
   1.00000E+001    4.87500E-001   -1.48288E-002    2.78378E-002
   1.00000E+001    5.12500E-001   -8.13440E-003    2.51231E-002
   1.00000E+001    5.37500E-001   -3.01024E-003    2.19001E-002
   1.00000E+001    5.62500E-001    7.45155E-004    1.84889E-002
   1.00000E+001    5.87500E-001    3.34500E-003    1.51243E-002
   1.00000E+001    6.12500E-001    4.99957E-003    1.19688E-002
