      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-04     6.30957E+01     1.25002E+02    -6.33949E-01
    1.00000E-04     7.94328E+01     1.25001E+02    -5.03566E-01
    1.00000E-04     1.00000E+02     1.25001E+02    -3.99998E-01
    1.00000E-04     1.25893E+02     1.25000E+02    -3.17730E-01
    1.00000E-04     1.58489E+02     1.25000E+02    -2.52382E-01
    1.00000E-04     1.99526E+02     1.25000E+02    -2.00475E-01
    1.00000E-04     2.51189E+02     1.25000E+02    -1.59243E-01
    1.00000E-04     3.16228E+02     1.25000E+02    -1.26491E-01
    1.00000E-04     3.98107E+02     1.25000E+02    -1.00475E-01
    1.00000E-04     5.01187E+02     1.25000E+02    -7.98105E-02
    1.00000E-04     6.30957E+02     1.25000E+02    -6.33957E-02
    1.00000E-04     7.94328E+02     1.25000E+02    -5.03570E-02
    1.00000E-04     1.00000E+03     1.25000E+02    -4.00000E-02
    1.00000E-04     1.25893E+03     1.25000E+02    -3.17731E-02
    1.00000E-04     1.58489E+03     1.25000E+02    -2.52383E-02
    1.00000E-04     1.99526E+03     1.25000E+02    -2.00475E-02
    1.00000E-04     2.51189E+03     1.25000E+02    -1.59243E-02
    1.00000E-04     3.16228E+03     1.25000E+02    -1.26491E-02
    1.00000E-04     3.98107E+03     1.25000E+02    -1.00475E-02
    1.00000E-04     5.01187E+03     1.25000E+02    -7.98105E-03
    1.00000E-04     6.30957E+03     1.25000E+02    -6.33957E-03
    1.00000E-04     7.94328E+03     1.25000E+02    -5.03570E-03
    1.00000E-04     1.00000E+04     1.25000E+02    -4.00000E-03
    1.00000E-04     1.25893E+04     1.25000E+02    -3.17731E-03
    1.00000E-04     1.58489E+04     1.25000E+02    -2.52383E-03
    1.00000E-04     1.99526E+04     1.25000E+02    -2.00475E-03
    1.00000E-04     2.51189E+04     1.25000E+02    -1.59243E-03
    1.00000E-04     3.16228E+04     1.25000E+02    -1.26491E-03
    1.00000E-04     3.98107E+04     1.25000E+02    -1.00475E-03
    1.00000E-04     5.01187E+04     1.25000E+02    -7.98105E-04
    1.00000E-04     6.30957E+04     1.25000E+02    -6.33957E-04
    1.00000E-04     7.94328E+04     1.25000E+02    -5.03570E-04
