        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity               Xi             Zeta
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s                                  
     0.55556   1.59500000E-03   1.09622764E-07   2.49266409E-07   1.00010495E-03   9.99855684E-04  -4.11499853E-05  -4.91798872E-03   5.07534601E-01   1.15414400E-01
     0.55556   1.72260000E-03   1.17521871E-07   2.36228193E-07   1.00009864E-03   9.99862413E-04  -4.09547429E-05  -5.73634205E-03   5.48137369E-01   1.24647552E-01
     0.55556   1.85020000E-03   1.25152906E-07   2.23358166E-07   1.00009246E-03   9.99869105E-04  -4.07546524E-05  -6.61764563E-03   5.88740137E-01   1.33880704E-01
     0.55556   1.97780000E-03   1.32483591E-07   2.10680692E-07   1.00008644E-03   9.99875754E-04  -4.05490252E-05  -7.56189946E-03   6.29342905E-01   1.43113856E-01
     0.55556   2.10540000E-03   1.39483057E-07   1.98220963E-07   1.00008057E-03   9.99882351E-04  -4.03371540E-05  -8.56910355E-03   6.69945673E-01   1.52347008E-01
     0.55556   2.23300000E-03   1.46122696E-07   1.86004730E-07   1.00007489E-03   9.99888885E-04  -4.01183219E-05  -9.63925790E-03   7.10548441E-01   1.61580160E-01
     0.55556   2.36060000E-03   1.52377007E-07   1.74058017E-07   1.00006940E-03   9.99895344E-04  -3.98918104E-05  -1.07723625E-02   7.51151209E-01   1.70813312E-01
     0.55556   2.48820000E-03   1.58224395E-07   1.62406801E-07   1.00006412E-03   9.99901717E-04  -3.96569097E-05  -1.19684174E-02   7.91753977E-01   1.80046464E-01
     0.55556   2.61580000E-03   1.63647889E-07   1.51076689E-07   1.00005907E-03   9.99907989E-04  -3.94129281E-05  -1.32274225E-02   8.32356745E-01   1.89279616E-01
     0.55556   2.74340000E-03   1.68635744E-07   1.40092566E-07   1.00005424E-03   9.99914144E-04  -3.91592013E-05  -1.45493778E-02   8.72959513E-01   1.98512768E-01
     0.55556   2.87100000E-03   1.73181885E-07   1.29478251E-07   1.00004965E-03   9.99920167E-04  -3.88951027E-05  -1.59342835E-02   9.13562281E-01   2.07745920E-01
     0.55556   2.99860000E-03   1.77286174E-07   1.19256138E-07   1.00004530E-03   9.99926041E-04  -3.86200523E-05  -1.73821393E-02   9.54165049E-01   2.16979072E-01
     0.55556   3.12620000E-03   1.80954468E-07   1.09446853E-07   1.00004119E-03   9.99931747E-04  -3.83335253E-05  -1.88929455E-02   9.94767817E-01   2.26212224E-01
     0.55556   3.25380000E-03   1.84198460E-07   1.00068922E-07   1.00003734E-03   9.99937268E-04  -3.80350603E-05  -2.04667019E-02   1.03537059E+00   2.35445376E-01
     0.55556   3.38140000E-03   1.87035309E-07   9.11384571E-08   1.00003373E-03   9.99942588E-04  -3.77242665E-05  -2.21034085E-02   1.07597335E+00   2.44678528E-01
     0.55556   3.50900000E-03   1.89487059E-07   8.26688784E-08   1.00003036E-03   9.99947689E-04  -3.74008293E-05  -2.38030654E-02   1.11657612E+00   2.53911680E-01
     0.55556   3.63660000E-03   1.91579894E-07   7.46706694E-08   1.00002723E-03   9.99952556E-04  -3.70645155E-05  -2.55656726E-02   1.15717889E+00   2.63144832E-01
     0.55556   3.76420000E-03   1.93343242E-07   6.71511793E-08   1.00002433E-03   9.99957177E-04  -3.67151768E-05  -2.73912300E-02   1.19778166E+00   2.72377984E-01
     0.55556   3.89180000E-03   1.94808791E-07   6.01144763E-08   1.00002165E-03   9.99961539E-04  -3.63527520E-05  -2.92797377E-02   1.23838443E+00   2.81611136E-01
     0.55556   4.01940000E-03   1.96009472E-07   5.35612576E-08   1.00001920E-03   9.99965634E-04  -3.59772680E-05  -3.12311956E-02   1.27898719E+00   2.90844288E-01
     0.55556   4.14700000E-03   1.96978445E-07   4.74888210E-08   1.00001694E-03   9.99969456E-04  -3.55888390E-05  -3.32456038E-02   1.31958996E+00   3.00077440E-01
     0.55556   4.27460000E-03   1.97748168E-07   4.18910994E-08   1.00001489E-03   9.99973000E-04  -3.51876648E-05  -3.53229622E-02   1.36019273E+00   3.09310592E-01
     0.55556   4.40220000E-03   1.98349565E-07   3.67587591E-08   1.00001303E-03   9.99976267E-04  -3.47740275E-05  -3.74632709E-02   1.40079550E+00   3.18543744E-01
     0.55556   4.52980000E-03   1.98811354E-07   3.20793613E-08   1.00001134E-03   9.99979258E-04  -3.43482864E-05  -3.96665298E-02   1.44139827E+00   3.27776896E-01
     0.55556   4.65740000E-03   1.99159547E-07   2.78375823E-08   1.00000982E-03   9.99981980E-04  -3.39108728E-05  -4.19327390E-02   1.48200103E+00   3.37010048E-01
     0.55556   4.78500000E-03   1.99417122E-07   2.40154882E-08   1.00000846E-03   9.99984441E-04  -3.34622823E-05  -4.42618985E-02   1.52260380E+00   3.46243200E-01
     0.55556   4.91260000E-03   1.99603887E-07   2.05928560E-08   1.00000724E-03   9.99986649E-04  -3.30030669E-05  -4.66540082E-02   1.56320657E+00   3.55476352E-01
     0.55556   5.04020000E-03   1.99736495E-07   1.75475341E-08   1.00000616E-03   9.99988617E-04  -3.25338259E-05  -4.91090682E-02   1.60380934E+00   3.64709504E-01
     0.55556   5.16780000E-03   1.99828600E-07   1.48558303E-08   1.00000522E-03   9.99990360E-04  -3.20551961E-05  -5.16270784E-02   1.64441211E+00   3.73942656E-01
     0.55556   5.29540000E-03   1.99891112E-07   1.24929176E-08   1.00000438E-03   9.99991891E-04  -3.15678422E-05  -5.42080389E-02   1.68501487E+00   3.83175808E-01
     0.55556   5.42300000E-03   1.99932522E-07   1.04332467E-08   1.00000366E-03   9.99993226E-04  -3.10724455E-05  -5.68519496E-02   1.72561764E+00   3.92408960E-01
     0.55556   5.55060000E-03   1.99959264E-07   8.65095346E-09   1.00000303E-03   9.99994383E-04  -3.05696945E-05  -5.95588106E-02   1.76622041E+00   4.01642112E-01
     0.55556   5.67820000E-03   1.99976076E-07   7.12024948E-09   1.00000250E-03   9.99995376E-04  -3.00602745E-05  -6.23286219E-02   1.80682318E+00   4.10875264E-01
     0.55556   5.80580000E-03   1.99986352E-07   5.81578785E-09   1.00000204E-03   9.99996223E-04  -2.95448584E-05  -6.51613834E-02   1.84742595E+00   4.20108416E-01
     0.55556   5.93340000E-03   1.99992450E-07   4.71299329E-09   1.00000165E-03   9.99996939E-04  -2.90240979E-05  -6.80570951E-02   1.88802871E+00   4.29341568E-01
     0.55556   6.06100000E-03   1.99995956E-07   3.78835057E-09   1.00000133E-03   9.99997540E-04  -2.84986167E-05  -7.10157572E-02   1.92863148E+00   4.38574720E-01
     0.55556   6.18860000E-03   1.99997907E-07   3.01964554E-09   1.00000106E-03   9.99998039E-04  -2.79690036E-05  -7.40373694E-02   1.96923425E+00   4.47807872E-01
     0.55556   6.31620000E-03   1.99998956E-07   2.38615557E-09   1.00000084E-03   9.99998450E-04  -2.74358076E-05  -7.71219320E-02   2.00983702E+00   4.57041024E-01
