  Iters          DeltaV        Position            Conc           Phi_1           i_rxn
    ###           Volts              cm           mol/L           Volts           A/cm2
 166918     5.10000E-02     3.37500E-01     1.11892E+00     0.00000E+00     3.03599E-04
 166918     5.10000E-02     3.62500E-01     1.09295E+00     0.00000E+00     3.03599E-04
 166918     5.10000E-02     3.87500E-01     1.06768E+00     0.00000E+00     3.03599E-04
 166918     5.10000E-02     4.12500E-01     1.04309E+00     0.00000E+00     3.03599E-04
 166918     5.10000E-02     4.37500E-01     1.01913E+00     0.00000E+00     3.03599E-04
 166918     5.10000E-02     4.62500E-01     9.95766E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     4.87500E-01     9.72981E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     5.12500E-01     9.50742E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     5.37500E-01     9.29024E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     5.62500E-01     9.07805E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     5.87500E-01     8.87060E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     6.12500E-01     8.66771E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     6.37500E-01     8.46917E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     6.62500E-01     8.27480E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     6.87500E-01     8.08444E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     7.12500E-01     7.89792E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     7.37500E-01     7.71509E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     7.62500E-01     7.53582E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     7.87500E-01     7.35995E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     8.12500E-01     7.18738E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     8.37500E-01     7.01798E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     8.62500E-01     6.85164E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     8.87500E-01     6.68824E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     9.12500E-01     6.52769E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     9.37500E-01     6.36989E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     9.62500E-01     6.21475E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     9.87500E-01     6.06218E-01     0.00000E+00     3.03599E-04
 166918     5.10000E-02     1.00000E+00     5.98714E-01    -3.10879E-02     3.03599E-04
 170656     6.10000E-02     0.00000E+00     1.71404E+00     2.26420E-02     3.63746E-04
 170656     6.10000E-02     1.25000E-02     1.68438E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     3.75000E-02     1.62853E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     6.25000E-02     1.57577E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     8.75000E-02     1.52579E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     1.12500E-01     1.47831E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     1.37500E-01     1.43310E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     1.62500E-01     1.38996E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     1.87500E-01     1.34871E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     2.12500E-01     1.30919E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     2.37500E-01     1.27128E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     2.62500E-01     1.23484E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     2.87500E-01     1.19976E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     3.12500E-01     1.16596E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     3.37500E-01     1.13334E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     3.62500E-01     1.10183E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     3.87500E-01     1.07134E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     4.12500E-01     1.04183E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     4.37500E-01     1.01322E+00     0.00000E+00     3.63746E-04
 170656     6.10000E-02     4.62500E-01     9.85471E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     4.87500E-01     9.58527E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     5.12500E-01     9.32345E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     5.37500E-01     9.06882E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     5.62500E-01     8.82102E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     5.87500E-01     8.57969E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     6.12500E-01     8.34449E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     6.37500E-01     8.11514E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     6.62500E-01     7.89135E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     6.87500E-01     7.67286E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     7.12500E-01     7.45942E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     7.37500E-01     7.25082E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     7.62500E-01     7.04683E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     7.87500E-01     6.84727E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     8.12500E-01     6.65193E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     8.37500E-01     6.46066E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     8.62500E-01     6.27329E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     8.87500E-01     6.08966E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     9.12500E-01     5.90962E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     9.37500E-01     5.73304E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     9.62500E-01     5.55980E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     9.87500E-01     5.38976E-01     0.00000E+00     3.63746E-04
 170656     6.10000E-02     1.00000E+00     5.30629E-01    -3.83580E-02     3.63746E-04
 173561     7.10000E-02     0.00000E+00     1.88105E+00     2.50301E-02     4.24245E-04
 173561     7.10000E-02     1.25000E-02     1.83994E+00     0.00000E+00     4.24245E-04
 173561     7.10000E-02     3.75000E-02     1.76415E+00     0.00000E+00     4.24245E-04
 173561     7.10000E-02     6.25000E-02     1.69389E+00     0.00000E+00     4.24245E-04
 173561     7.10000E-02     8.75000E-02     1.62844E+00     0.00000E+00     4.24245E-04
 173561     7.10000E-02     1.12500E-01     1.56718E+00     0.00000E+00     4.24245E-04
 173561     7.10000E-02     1.37500E-01     1.50964E+00     0.00000E+00     4.24245E-04
