        Time     Position          Conc_0          Conc_x
       hours           um           mol/L           mol/L
     1.00000      0.98750     7.35320E-01     2.64680E-01
     1.00000      1.00000     7.35320E-01     2.64680E-01
     1.10000      0.00000     1.00000E+00     0.00000E+00
     1.10000      0.01250     9.77580E-01     2.24196E-02
     1.10000      0.03750     9.38604E-01     6.13964E-02
     1.10000      0.06250     9.04802E-01     9.51980E-02
     1.10000      0.08750     8.75568E-01     1.24432E-01
     1.10000      0.11250     8.50361E-01     1.49639E-01
     1.10000      0.13750     8.28699E-01     1.71301E-01
     1.10000      0.16250     8.10151E-01     1.89849E-01
     1.10000      0.18750     7.94330E-01     2.05670E-01
     1.10000      0.21250     7.80893E-01     2.19107E-01
     1.10000      0.23750     7.69528E-01     2.30472E-01
     1.10000      0.26250     7.59959E-01     2.40041E-01
     1.10000      0.28750     7.51941E-01     2.48059E-01
     1.10000      0.31250     7.45255E-01     2.54745E-01
     1.10000      0.33750     7.39708E-01     2.60292E-01
     1.10000      0.36250     7.35129E-01     2.64871E-01
     1.10000      0.38750     7.31369E-01     2.68631E-01
     1.10000      0.41250     7.28299E-01     2.71701E-01
     1.10000      0.43750     7.25805E-01     2.74195E-01
     1.10000      0.46250     7.23792E-01     2.76208E-01
     1.10000      0.48750     7.22174E-01     2.77826E-01
     1.10000      0.51250     7.20883E-01     2.79117E-01
     1.10000      0.53750     7.19858E-01     2.80142E-01
     1.10000      0.56250     7.19050E-01     2.80950E-01
     1.10000      0.58750     7.18415E-01     2.81585E-01
     1.10000      0.61250     7.17921E-01     2.82079E-01
     1.10000      0.63750     7.17538E-01     2.82462E-01
     1.10000      0.66250     7.17243E-01     2.82757E-01
     1.10000      0.68750     7.17017E-01     2.82983E-01
     1.10000      0.71250     7.16845E-01     2.83155E-01
     1.10000      0.73750     7.16716E-01     2.83284E-01
     1.10000      0.76250     7.16618E-01     2.83382E-01
     1.10000      0.78750     7.16546E-01     2.83454E-01
     1.10000      0.81250     7.16492E-01     2.83508E-01
     1.10000      0.83750     7.16453E-01     2.83547E-01
     1.10000      0.86250     7.16424E-01     2.83576E-01
     1.10000      0.88750     7.16403E-01     2.83597E-01
     1.10000      0.91250     7.16389E-01     2.83611E-01
     1.10000      0.93750     7.16379E-01     2.83621E-01
     1.10000      0.96250     7.16373E-01     2.83627E-01
     1.10000      0.98750     7.16371E-01     2.83629E-01
     1.10000      1.00000     7.16371E-01     2.83629E-01
     1.20000      0.00000     1.00000E+00     0.00000E+00
     1.20000      0.01250     9.76975E-01     2.30251E-02
     1.20000      0.03750     9.36790E-01     6.32099E-02
     1.20000      0.06250     9.01790E-01     9.82096E-02
     1.20000      0.08750     8.71376E-01     1.28624E-01
     1.20000      0.11250     8.45013E-01     1.54987E-01
     1.20000      0.13750     8.22229E-01     1.77771E-01
     1.20000      0.16250     8.02599E-01     1.97401E-01
